"","Species","CB3DR_D100M1","CB3DR_D100M2","CB3DR_D100M3","CB3DR_D100M4","CB3DR_D100M5","CB3DR_DM0-FF","CB3DR_DM0Sach","CB3DR_DM10-FF","CB3DR_DM10-SPD","CB3DR_DM6-SPD","CB3DR_extblank1","CB3DR_extblank2","CB3DR_extblank3","D1000M1","D1000M2","D1000M3","D1000M4","D1000M5","D100M1","D100M2","D100M3","D100M4","D100M5","D250M1","D250M2","D250M4","D250M5","D500M1","D500M2","D500M3","D500M4","D500M5","DLarv2","DLarv3","DLarv4","DLarv5","M2ACV","M2DC","M2FF","M4DC","M4FF","M6FF","POS1","POS2","T10DC","T10FF","T10SPD","T2SPD","T4DC","T4FF","T4SPD","T6DC","T6FF","T6SPD","T8DC","T8FF","T8SPD"
"40","Rhytidoponera_metallica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,655
"41","Sarcophaga_assimilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1505848,NA,NA
"42","Scaptodrosophila_kirki",NA,NA,NA,NA,NA,NA,15535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Scaptodrosophila_lattivitata",62678,42253,133734,278566,1567,247318,115791,116188,393230,188654,254264,6227,129602,825162,1311949,2173881,1916822,NA,1000449,803375,1950092,3014939,NA,890315,212562,2090844,NA,269486,242374,333485,8199,NA,1984721,3870045,1262517,1938825,810833,78925,981625,22558,240668,174551,NA,NA,1541728,26988,616903,363801,282459,NA,1099404,1079423,846,341890,2730353,152,833482
"44","Simulium_ornatipes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2946,NA,NA,NA,NA,NA,NA
"45","Synthetic_Acrididae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,597364,1129138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Synthetic_Aphididae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204570,611033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Synthetic_Apidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213877,764225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Synthetic_Cerambycidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219243,304366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Synthetic_Crambidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,593273,1215027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
